keyword,keyword_group,search_intent,target_canonical_url,primary_or_secondary,reason_for_mapping,overlap_risk,recommended_action
buy stretch-woven compression fabric,performance,Commercial,/fabrics/stretch-woven-compression/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton cotton poplin,fabric_type,Commercial,/fabrics/cotton-poplin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton cotton seersucker,fabric_type,Commercial,/fabrics/cotton-seersucker/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton cotton voile,fabric_type,Commercial,/fabrics/cotton-voile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton poplin fabric online,fabric_type,Commercial,/fabrics/cotton-poplin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton poplin for shirts,fabric_type,Commercial,/fabrics/cotton-poplin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton poplin textile,fabric_type,Commercial,/fabrics/cotton-poplin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton seersucker fabric online,fabric_type,Commercial,/fabrics/cotton-seersucker/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton seersucker textile,fabric_type,Commercial,/fabrics/cotton-seersucker/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton voile fabric online,fabric_type,Commercial,/fabrics/cotton-voile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton voile for shirts,fabric_type,Commercial,/fabrics/cotton-voile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cotton voile textile,fabric_type,Commercial,/fabrics/cotton-voile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
"cotton, linen or blends pointelle knit",fabric_type,Commercial,/fabrics/pointelle-knit/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
european flax linen fabric online,fabric_type,Commercial,/fabrics/european-flax-linen/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
european flax linen for dresses,fabric_type,Commercial,/fabrics/european-flax-linen/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
european flax linen for shirts,fabric_type,Commercial,/fabrics/european-flax-linen/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
european flax linen for trousers,fabric_type,Commercial,/fabrics/european-flax-linen/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
european flax linen textile,fabric_type,Commercial,/fabrics/european-flax-linen/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for baselayers stretch-woven,performance,Commercial,/fabrics/stretch-woven-compression/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for blouses silk,application,Commercial,/fabrics/silk-chiffon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for bottoms linen-cotton,application,Commercial,/fabrics/linen-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for chore jackets linen-cotton,application,Commercial,/fabrics/linen-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for coats melton,application,Commercial,/fabrics/melton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for dresses european,application,Commercial,/fabrics/european-flax-linen/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for dresses silk,application,Commercial,/fabrics/silk-chiffon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for jackets boiled,application,Commercial,/fabrics/boiled-wool/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for resortwear pointelle,application,Commercial,/fabrics/pointelle-knit/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for scarves silk,application,Commercial,/fabrics/silk-chiffon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for shirts cotton,application,Commercial,/fabrics/cotton-poplin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for shirts european,application,Commercial,/fabrics/european-flax-linen/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for shirts linen-cotton,application,Commercial,/fabrics/linen-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for soft tailoring boiled,application,Commercial,/fabrics/boiled-wool/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for trousers european,application,Commercial,/fabrics/european-flax-linen/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for trousers silk,application,Commercial,/fabrics/silk-georgette/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for unlined coats boiled,application,Commercial,/fabrics/boiled-wool/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
"fine-count, high-twist cotton poplin",fabric_type,Commercial,/fabrics/cotton-poplin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
"fine-count, high-twist cotton voile",fabric_type,Commercial,/fabrics/cotton-voile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
heavily felted and cropped melton,fabric_type,Commercial,/fabrics/melton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
knitted then shrunk boiled wool,fabric_type,Commercial,/fabrics/boiled-wool/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
lightweight denim fabric online,fabric_type,Commercial,/fabrics/lightweight-denim/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
lightweight denim textile,fabric_type,Commercial,/fabrics/lightweight-denim/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
linen-cotton fabric online,fabric_type,Commercial,/fabrics/linen-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
linen-cotton for bottoms,fabric_type,Commercial,/fabrics/linen-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
linen-cotton for chore jackets,fabric_type,Commercial,/fabrics/linen-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
linen-cotton for shirts,fabric_type,Commercial,/fabrics/linen-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
linen-cotton textile,fabric_type,Commercial,/fabrics/linen-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
melton fabric online,fabric_type,Commercial,/fabrics/melton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
melton for coats,fabric_type,Commercial,/fabrics/melton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
melton textile,fabric_type,Commercial,/fabrics/melton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
plain weave silk chiffon,fabric_type,Commercial,/fabrics/silk-chiffon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
pointelle knit fabric online,fabric_type,Commercial,/fabrics/pointelle-knit/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
pointelle knit for resortwear,fabric_type,Commercial,/fabrics/pointelle-knit/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
pointelle knit textile,fabric_type,Commercial,/fabrics/pointelle-knit/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
pointelle pointelle knit,fabric_type,Commercial,/fabrics/pointelle-knit/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk chiffon fabric online,fabric_type,Commercial,/fabrics/silk-chiffon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk chiffon for blouses,fabric_type,Commercial,/fabrics/silk-chiffon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk chiffon for dresses,fabric_type,Commercial,/fabrics/silk-chiffon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk chiffon for scarves,fabric_type,Commercial,/fabrics/silk-chiffon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk chiffon textile,fabric_type,Commercial,/fabrics/silk-chiffon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk georgette fabric online,fabric_type,Commercial,/fabrics/silk-georgette/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk georgette for dresses,fabric_type,Commercial,/fabrics/silk-georgette/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk georgette for trousers,fabric_type,Commercial,/fabrics/silk-georgette/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk georgette textile,fabric_type,Commercial,/fabrics/silk-georgette/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk silk chiffon,fabric_type,Commercial,/fabrics/silk-chiffon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk silk georgette,fabric_type,Commercial,/fabrics/silk-georgette/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
stretch woven stretch-woven compression,performance,Commercial,/fabrics/stretch-woven-compression/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
stretch-woven compression fabric online,performance,Commercial,/fabrics/stretch-woven-compression/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
stretch-woven compression for baselayers,performance,Commercial,/fabrics/stretch-woven-compression/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
stretch-woven compression textile,performance,Commercial,/fabrics/stretch-woven-compression/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
what is boiled wool,informational,Informational,/fabrics/boiled-wool/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
what is cotton poplin,informational,Informational,/fabrics/cotton-poplin/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
what is cotton seersucker,informational,Informational,/fabrics/cotton-seersucker/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
what is cotton voile,informational,Informational,/fabrics/cotton-voile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
what is european flax linen,informational,Informational,/fabrics/european-flax-linen/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
what is lightweight denim,informational,Informational,/fabrics/lightweight-denim/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
what is linen-cotton,informational,Informational,/fabrics/linen-cotton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
what is melton,informational,Informational,/fabrics/melton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
what is pointelle knit,informational,Informational,/fabrics/pointelle-knit/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
what is silk chiffon,informational,Informational,/fabrics/silk-chiffon/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
what is silk georgette,informational,Informational,/fabrics/silk-georgette/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
what is stretch-woven compression,performance,Informational,/fabrics/stretch-woven-compression/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
wool boiled wool,fabric_type,Commercial,/fabrics/boiled-wool/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
wool melton,fabric_type,Commercial,/fabrics/melton/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
breathable performance fabric,performance,Commercial,/collections/performance/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
buy performance fabric,fabric_type,Commercial,/collections/performance/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
cooling fabric,fabric_type,Commercial,/collections/performance/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
performance fabric for apparel,application,Commercial,/collections/performance/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
technical textile,fabric_type,Commercial,/collections/performance/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
water resistant fabric,performance,Commercial,/collections/performance/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
buy silk fabric,fabric_type,Commercial,/collections/silk-sheer/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
crepe de chine fabric,fabric_type,Commercial,/collections/silk-sheer/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk dupion fabric,fabric_type,Commercial,/collections/silk-sheer/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk fabric online,fabric_type,Commercial,/collections/silk-sheer/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk habotai fabric,fabric_type,Commercial,/collections/silk-sheer/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
silk taffeta fabric,fabric_type,Commercial,/collections/silk-sheer/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
buy outerwear fabric,fabric_type,Commercial,/collections/technical-outerwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
rain jacket fabric,fabric_type,Commercial,/collections/technical-outerwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
technical shell fabric,fabric_type,Commercial,/collections/technical-outerwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
waterproof fabric,fabric_type,Commercial,/collections/technical-outerwear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
choosing fabric for activewear,informational,Informational,/guides/choosing-fabric-for-activewear/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
fabric for childrens clothing,application,Commercial,/fabrics/best-for/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for mens clothing,application,Commercial,/fabrics/best-for/tailoring/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
fabric for suits,application,Commercial,/fabrics/best-for/tailoring/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/fabric-for-suits/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
how to choose fabric for dresses,informational,Informational,/guides/how-to-choose-fabric-for-dresses/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",noindex_target,The URL exists and stays noindex. Do not create a replacement page and do not force this URL into the index.
how to choose fabric for shirts,informational,Informational,/guides/how-to-choose-fabric-for-shirts/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
buy velvet fabric,fabric_type,Commercial,/collections/velvet-pile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
corduroy fabric for trousers,application,Commercial,/collections/velvet-pile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
pile fabric,fabric_type,Commercial,/collections/velvet-pile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
velvet fabric for dresses,application,Commercial,/collections/velvet-pile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/velvet-dresses/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
velvet fabric for upholstery,application,Commercial,/collections/velvet-pile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
velveteen fabric,fabric_type,Commercial,/collections/velvet-pile/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
boiled wool fabric,fabric_type,Commercial,/collections/tailoring/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /fabrics/boiled-wool/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
melton fabric,fabric_type,Commercial,/collections/tailoring/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /fabrics/melton/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
wool fabric for coats,application,Commercial,/collections/tailoring/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/wool-coats/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
wool fabric for jackets,application,Commercial,/collections/tailoring/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/wool-jackets/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
wool fabric for suits,application,Commercial,/collections/tailoring/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /discover/wool-suits/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
wool flannel fabric,fabric_type,Commercial,/collections/tailoring/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
buy woven fabric,fabric_type,Commercial,/fabrics/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
lightweight woven fabric,fabric_type,Commercial,/fabrics/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
stretch woven fabric,performance,Commercial,/fabrics/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
woven fabric construction,fabric_type,Commercial,/fabrics/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
woven fabric for trousers,application,Commercial,/fabrics/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",cannibalization,Primary topic is also used by /marketplace/woven-cloth-for-trousers/. Strengthen the stronger page and keep the other as support. Do not add a third URL.
woven fabric online,fabric_type,Commercial,/fabrics/,secondary,"Mapped in fabstitch-keyword-map.csv onto an existing URL. Volume, difficulty, and rank are UNKNOWN.",low,Strengthen this existing canonical page. Do not create another URL.
